r: {r, f198bd784126b5c58bed055aa13b4d03}
f5: {f5, 57c2906f544227abea508672c12518ff}
g9: {g9, 4d0abd26b864a85919453e5e905da26a}
n5: {n5, c4b1644449eab44ac58ccdb9a55a6f02}
v8: {v8, 5aca47754038f6b6ac90f1012b5692df}
zb: {zb, 5cc4bd75bdad87f5466d93a302c02ac3}
com/github/gcacace: {com/github/gcacace, 02c3355edfc124a90073fe6dc447bd70}
androidx/room: {androidx/room, f28bae36be3f660e692ff177c419f008}
w2: {w2, f25dcd90bcaa425b48e0e28766159a6b}
kotlin/enums: {kotlin/enums, 98659bb7f6cf12481abd42fcdb398cda}
kotlin/text: {kotlin/text, ea579af7ccb675dab91c0299bd688667}
z7: {z7, 465c8f802cf56fcdee452a94114357e8}
k3: {k3, acc930c7dc276f980c097f437e7b2346}
p4: {p4, 10d68cd001de35cb12de5c1518fbcb8c}
l: {l, 19b23bd56f2ded72ecd30a2f946ae4f4}
d2: {d2, cc190949a5cf733f31ade4aedfa8f10d}
com/airbnb/lottie: {com/airbnb/lottie, 45bbb298426abb73bffd163ac2d60014}
x1: {x1, 2c0dfae0dfe81812dc6650a11280cb1c}
androidx/viewpager/widget: {androidx/viewpager/widget, 90dcd69900e16135d25cf1ea09b7c44a}
y5: {y5, d79de1142f034c5db320d656929d6481}
m2: {m2, a6e279976982d868ebef4ec82e9f0304}
j9: {j9, 0a068213fd06fe2fc074a571923e797d}
n8: {n8, b2465c544257f634590217cb1f8ef156}
a3: {a3, 14e4812313897f38783ff75a172e32e8}
androidx/fragment/app: {androidx/fragment/app, c645a6b04d21bb1d9d54c12a35377534}
j0: {j0, 7bd10d86f2954a6bc32bbd62fc7d4bcf}
n3: {n3, 6738e76eb86094811f669bb3beb9c6d5}
e: {e, 736be6f8179f08bf323b8af58cc33fae}
jb: {jb, 47894983d07f40b3c2e507035d2c76d7}
u9: {u9, 6f442c618342f8adef14b5e59d52608d}
pa: {pa, 296aeff7946678c6d9bb79f402533e58}
v1: {v1, 5df1d852e473f98b574ed115bcd86f01}
dagger/hilt/android: {dagger/hilt/android, 370ee7d515ba1ab4c683126edf1e0750}
m9: {m9, d05f7e773c2c2c71091373e3f66d9215}
r5: {r5, 15a2aa0b9dc4a6dbc12656a609d2a707}
f8: {f8, 288a20f9b0243d026b8f0bd484e3258e}
o4: {o4, be94b6b08632b44d8289185317e4e76c}
kotlin/time: {kotlin/time, 058ac94204178cf5cebdd7ceae2ac361}
g2: {g2, ef7c3f1cf928b60f1f2f0a37dd8636f3}
h6: {h6, 07debfe84996f4a68b7d3e0e9e43f259}
u0: {u0, 9d017dc92f553c1802ce81c38f066ab4}
pb: {pb, 6e28b526b96f7997cc7c7015aec01f83}
i1: {i1, 7d2cedab70a432d8ff45d4b33325f503}
oa: {oa, 40d4c2147762a5a56426189b116c3a44}
l4: {l4, c221d10e3b14a9f1d9fd5e0be7c3aa98}
s1: {s1, f9187b1bd1e219a5fb1a9627fe9bfe4f}
t6: {t6, 1d9478d1cbfd519ed8a2c4cba6034f0f}
lb: {lb, 08780f2c05fb75018d351e914d15b793}
b6: {b6, 29367d6f27b26d29aac0ec368cda7a0a}
c4: {c4, b1445fd3bc862a1512883668dbbce3e0}
f1: {f1, 0ade151b8099a4059d56797ea1fc4e4e}
com/bumptech/glide: {com/bumptech/glide, e34a16ad38490664d32d49ef787695a6}
w: {w, d3a4309675047e5f3e13cc055309eae5}
b9: {b9, 5a487a3fad84644543cd6d6fc839daa0}
r2: {r2, 4b27d3ceb7043654b4d533d99ae0d8e1}
w6: {w6, 8359486a0c804194a674deb93ec0cd71}
h: {h, 036c390e6abfec9fcb09561a9665af72}
d6: {d6, 62fe69609b323249278da5edb3d3c22e}
androidx/core/view: {androidx/core/view, e0f5b6a2f64f08e5cd335a9e6a10288f}
p0: {p0, 17d11e360852cbb33ef28da4606e5756}
z0: {z0, 4be27e115143184829bb656af5d1152a}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 87a553bb5a3104db3b186f8d41eec66a}
com/tuppersoft/skizo: {com/tuppersoft/skizo, 9db74216b54781a147b96754fa6e471b}
q6: {q6, 17bc2370ae648034f8c724bfa7e80929}
e0: {e0, b44bf89833352bbf181185f14591fe65}
androidx/loader/content: {androidx/loader/content, 310bd0430bb39746d36e34e2cbaaed33}
f6: {f6, ff430768764372825dd77da4954074f7}
okio: {okio, 5cdf1e9179d071afe036d66fdda01b52}
n4: {n4, 9e10d37ef7813979bb6d1cc72aab9c57}
k9: {k9, 9fd5ebb38da9c37d02e700092a3ee164}
y1: {y1, 2ee0524886d87d07d1e06d0639f884ba}
a: {a, b4e28f611774f5653086a54f5fe4581d}
ib: {ib, a8c3bb24bd5cd7f323fb011958be7b9d}
j4: {j4, 69dfff0e18ac463087415d088dc5bd59}
okhttp3/logging: {okhttp3/logging, 8435b602654c0965e2c32a03ccd7cdc4}
k6: {k6, b03c89e7d4441ecaf0ff78f865d1d02c}
